센터ID,프로그램ID
C0222,P0004
C0222,P0481
C0222,P0103
C0222,P0156
C0222,P0102
C0222,P0019
C0222,P0546
C0222,P0547
C0222,P0548
C0222,P0171
C0222,P0549
C0222,P0125
C0222,P0281
C0222,P0550
C0222,P0551
C0223,P0125
C0224,P0552
C0224,P0553
C0224,P0554
C0225,P0205
C0225,P0428
C0225,P0103
C0225,P0555
C0225,P0556
C0225,P0557
C0225,P0558
C0226,P0559
C0226,P0371
C0226,P0560
C0226,P0561
C0227,P0004
C0227,P0103
C0227,P0156
C0227,P0102
C0227,P0019
C0227,P0546
C0227,P0547
C0227,P0562
C0227,P0563
C0227,P0112
C0227,P0564
C0227,P0125
C0227,P0281
C0227,P0565
C0227,P0566
C0227,P0567
C0227,P0568
C0228,P0569
C0231,P0570
C0231,P0004
C0231,P0137
C0231,P0571
C0231,P0572
C0232,P0573
C0232,P0574
C0232,P0130
C0232,P0575
C0232,P0576
C0232,P0577
C0232,P0578
C0232,P0579
C0232,P0580
C0232,P0581
C0232,P0582
C0233,P0004
C0233,P0279
C0233,P0583
C0233,P0584
C0233,P0585
C0233,P0291
C0233,P0493
C0233,P0586
C0233,P0587
C0234,P0115
C0235,P0588
C0236,P0589
C0236,P0590
C0236,P0034
C0236,P0265
C0237,P0591
C0238,P0532
C0238,P0171
C0238,P0130
C0238,P0168
C0238,P0592
C0238,P0593
C0238,P0594
C0238,P0595
C0239,P0134
C0239,P0008
C0239,P0432
C0239,P0596
C0239,P0597
C0239,P0598
C0239,P0599
C0240,P0600
C0240,P0043
C0240,P0601
C0241,P0103
C0241,P0102
C0241,P0288
C0242,P0602
C0242,P0603
C0242,P0398
C0242,P0604
C0242,P0605
C0242,P0267
C0244,P0570
C0244,P0004
C0244,P0137
C0244,P0571
C0244,P0606
C0245,P0589
C0245,P0590
C0245,P0034
C0245,P0265
C0246,P0607
C0246,P0608
C0246,P0609
C0246,P0610
C0246,P0611
C0246,P0612
C0246,P0169
C0246,P0613
C0246,P0614
C0246,P0615
C0247,P0169
C0247,P0161
C0247,P0616
C0247,P0055
C0247,P0004
C0247,P0236
C0247,P0617
C0247,P0612
C0247,P0086
C0248,P0019
C0248,P0101
C0248,P0046
C0248,P0125
C0248,P0618
C0248,P0619
C0249,P0004
C0249,P0620
C0249,P0281
C0249,P0171
C0249,P0621
C0249,P0622
C0249,P0196
C0249,P0623
C0250,P0004
C0250,P0387
C0250,P0130
C0250,P0584
C0250,P0585
C0250,P0206
C0250,P0624
C0257,P0625
C0257,P0288
C0257,P0004
C0257,P0626
C0257,P0292
C0257,P0106
C0259,P0627
